    51/299     4.74G   0.02159  0.005835         0   0.02742        14       640    0.9182    0.8707    0.9364    0.8659   0.02728  0.009351         0
    52/299     4.74G   0.02157  0.005911         0   0.02748        10       640    0.9357    0.8904    0.9514    0.8772    0.0252  0.009348         0
    53/299     4.74G    0.0208  0.005755         0   0.02655        10       640    0.9511    0.8893    0.9479    0.8748   0.02428  0.009508         0
    54/299     4.74G   0.02062   0.00573         0   0.02635        11       640    0.9619    0.8759    0.9491    0.8793   0.02448  0.009363         0
    55/299     4.74G    0.0209  0.005728         0   0.02663        10       640    0.9388    0.8583     0.943    0.8748   0.02266  0.009702         0
    56/299     4.74G   0.02102  0.005599         0   0.02662         7       640    0.9178    0.8886    0.9429    0.8754   0.02214    0.0099         0
    57/299     4.74G   0.02082  0.005698         0   0.02652        11       640    0.9437    0.9028     0.954    0.8835   0.02194  0.009673         0
    58/299     4.74G   0.02134  0.005578         0   0.02691        16       640    0.9351    0.8945    0.9479    0.8819   0.02506   0.00936         0
    59/299     4.74G   0.02087  0.005591         0   0.02646        12       640    0.9261    0.8807     0.947    0.8808   0.02327  0.009799         0
    60/299     4.74G   0.02055  0.005533         0   0.02608         9       640     0.939    0.8945    0.9518    0.8852   0.02235  0.009835         0
    61/299     4.74G   0.02046  0.005605         0   0.02606        10       640     0.943    0.8897     0.951    0.8877   0.02052    0.0099         0
    62/299     4.74G   0.02048  0.005624         0    0.0261         8       640    0.9393    0.8831      0.95    0.8835   0.02242  0.009706         0
    63/299     4.74G   0.02038  0.005609         0   0.02599        22       640    0.9604    0.8769    0.9475    0.8837   0.02054  0.009999         0
    64/299     4.74G   0.02081  0.005594         0    0.0264        10       640    0.9446    0.8992    0.9552    0.8893   0.02148  0.009889         0
    65/299     4.74G    0.0207  0.005625         0   0.02632         5       640    0.9443    0.8769    0.9482    0.8822   0.02176  0.009766         0
    66/299     4.74G   0.02019  0.005655         0   0.02585         9       640    0.9553    0.8852    0.9526    0.8879   0.02158  0.009836         0
    67/299     4.74G   0.02006  0.005395         0   0.02545         9       640    0.9265    0.8997    0.9501    0.8883   0.02168      0.01         0
    68/299     4.74G   0.01996  0.005397         0   0.02536        12       640     0.941    0.8914    0.9506    0.8882    0.0208   0.01005         0
    69/299     4.74G   0.02032  0.005438         0   0.02575         8       640    0.9284    0.8852    0.9467    0.8881   0.02126  0.009982         0
    70/299     4.74G   0.02029  0.005372         0   0.02566        13       640    0.9211    0.8945    0.9492    0.8871   0.02145  0.009905         0
    71/299     4.74G   0.01988  0.005575         0   0.02546        11       640    0.9409     0.908    0.9535    0.8951   0.02036  0.009937         0
    72/299     4.74G   0.01996  0.005348         0   0.02531        12       640    0.9569    0.8964    0.9556    0.8916   0.02061  0.009919         0
    73/299     4.74G   0.01966  0.005323         0   0.02498        16       640    0.9448    0.9059    0.9573    0.8958   0.02048   0.01015         0
    74/299     4.74G   0.01998  0.005368         0   0.02535         9       640    0.9486    0.8966    0.9567    0.8971   0.02157  0.009829         0
    75/299     4.74G   0.01959  0.005318         0   0.02491         6       640    0.9551    0.9014    0.9566    0.8974   0.02211  0.009843         0
    76/299     4.74G   0.01979  0.005348         0   0.02514        14       640    0.9235    0.9111    0.9549    0.8958   0.02196  0.009937         0
    77/299     4.74G   0.01941  0.005191         0    0.0246        13       640    0.9587    0.8976    0.9571    0.8963   0.02217  0.009751         0
    78/299     4.74G   0.01961  0.005346         0   0.02495        15       640    0.9508    0.9018      0.96    0.9002    0.0209  0.009898         0
    79/299     4.74G   0.01953  0.005308         0   0.02483         7       640    0.9497    0.9038    0.9593    0.8999   0.02048  0.009801         0
    80/299     4.74G   0.01948  0.005327         0   0.02481        11       640     0.952    0.9027    0.9583    0.8984   0.02016  0.009984         0
    81/299     4.74G   0.01945  0.005232         0   0.02468         4       640    0.9518    0.8984    0.9584    0.9009   0.02002    0.0101         0
    82/299     4.74G   0.01943  0.005328         0   0.02476        18       640    0.9356    0.9014    0.9557    0.8975   0.02089    0.0101         0
    83/299     4.74G   0.01956  0.005309         0   0.02487        11       640     0.948    0.9058    0.9587    0.9015   0.02023   0.01002         0
    84/299     4.74G   0.01925  0.005274         0   0.02452        20       640    0.9438    0.9026    0.9584    0.9013   0.02031   0.01001         0
    85/299     4.74G   0.01949    0.0053         0   0.02479         6       640    0.9501     0.878    0.9563    0.9001   0.01984   0.01007         0
    86/299     4.74G   0.01924  0.005226         0   0.02447        26       640    0.9435    0.8986     0.957    0.9014   0.01999   0.01005         0
    87/299     4.74G   0.01945  0.005368         0   0.02482        10       640     0.956    0.8996    0.9614    0.9062   0.02067  0.009912         0
    88/299     4.74G   0.01926  0.005413         0   0.02467        17       640    0.9502    0.9173    0.9622    0.9077   0.02109  0.009849         0
    89/299     4.74G   0.01892  0.005093         0   0.02401         9       640    0.9415    0.9151    0.9595    0.9047   0.02064   0.01001         0
